"","negative","positive"
"1","no patient","attempted obtain"
"2","death serious","loosening"
"3","injury death","addressed correction"
"4","involvement","affected area"
"5","patient involvement","reported device currently"
"6","battery died","44 mg"
"7","no patient involvement","470 mg dl"
"8","no adverse event","pains"
"9","no adverse","behavior implant fails osseointegrate"
"10","death serious injury","laser assisted"
"11","death injury","2014"
"12","reportable malfunction","sent analysis"
"13","no injury","consequence associated event"
"14","no death","rescue"
"15","position 2017","patient infection"
"16","no pt","unknown cause"
"17","autopulse","son"
"18","injury medical","noted surgical"
"19","injury medical intervention","antibiotics"
"20","using expired","419 mg dl"
"21","manual cpr","requested returned evaluation"
"22","no report","disassociation"
"23","not impacted","replaced information provided manufacturer"
"24","death not related","aspiration performed"
"25","unrelated","no abnormal"
"26","reported implant attempt","transferred another"
"27","not expired","unresponsive"
"28","used expired","implanted inside"
"29","no report patient","reposition lead"
"30","no","longterm outcomes"
"31","reportable","dissected"
"32","no adverse event reported","hysterectomy"
"33","use date","454"
"34","stent fracture","part balloon"
"35","impact","anomalies"
"36","due reported malfunction","470 mg"
"37","veterinary","emergency room"
"38","patient injury","component involved"
"39","patient contact","reported lead capped replaced"
"40","no impact","filed appropriate patient"
"41","balloon rupture occurred","device malfunctions"
"42","no reported","26 mmol"
"43","no intervention","presyncope"
"44","no reported patient","lungs"
"45","level not impacted","419 mg"
"46","no patient involved","reintervention"
"47","contribute death","undertaken"
"48","no injuries","hologic"
"49","customers blood glucose unknown","address elevated"
"50","outside patient","routine followup"
"51","full revision","confirmed sterilization"
"52","no reported injury","no failure"
"53","no patient death","exchanged due"
"54","death complications","pt became"
"55","repair bed","hemolysis"
"56","device breakage","go hospital"
"57","no surgical","explanted patient stable"
"58","loss connection","female patient underwent"
"59","olive","device explanted replaced"
"60","glucose level not impacted","surgical intervention performed"
"61","blood glucose level unknown","sent patient complaint reported"
"62","not used","defibrillation threshold dft"
"63","abnormal pump","cause death requested not"
"64","attempted implant","migrated"
"65","original intended","ventricular fibrillation"
"66","report injury","revisions"
"67","device failure suspected","glucose customer reported received"
"68","glucose level unknown","44 mg dl"
"69","not use patient","ipg site"
"70","reported implant","455"
"71","no reprogramming","heart"
"72","no patient injury","416"
"73","no surgical intervention","part event"
"74","sequelae reported patient","accidental"
"75","patient reprogrammed","icd system"
"76","reamers","prk"
"77","however complaint reported","hyperglycemic"
"78","monitor replaced","approximation"
"79","clinical sequelae reported patient","injury no adverse"
"80","injuries medical","capture management"
"81","no report injury","indicated patient died approximately"
"82","adverse event reported","alternate ventilator"
"83","no revision","tube removed"
"84","country complaint","patient pocket"
"85","serious injury death","anastomosis"
"86","never implanted","exterior catheter"
"87","not implanted","causing"
"88","delay treatment","replacement planned"
"89","caused contributed patients death","customer administered"
"90","reprogrammed patient","dnr"
"91","per site reporter","event pt involving"
"92","slitting","impedance noise"
"93","due eri","using forceps"
"94","per site","result patients"
"95","delay treatment no","411 mg dl"
"96","patient due reported malfunction","stick injury"
"97","manufacturer response","411 mg"
"98","health professionals","repaired"
"99","not injured","lymphoma"
"100","injuries medical intervention","49 mg"
"101","animal","done lead"
"102","broke no","aneurysm"
"103","impactor","product one event"
"104","non osseointegration","reported lead explanted due"
"105","involvement associated","periods"
"106","died within","leveraging"
"107","no harm","broken catheter"
"108","effect patient due reported","high blood glucose value"
"109","contribute patients","441"
"110","delays","customer experienced elevated"
"111","reported stent damage occurred","death information"
"112","not patient","pancreatitis"
"113","reported balloon rupture occurred","reported serious"
"114","adverse effect patient due","ipg replaced"
"115","tested specification","clinician device explanted"
"116","reported implant lead","received clinician device explanted"
"117","pt impact","autopsy not performed"
"118","complainant indicated no","friction icd"
"119","dl reportedly customer manual","second surgery"
"120","package","lead replaced"
"121","patient involvement associated","updated information provided reported"
"122","level unknown","inappropriate hv therapy"
"123","site reporter","437"
"124","no pt death","device returned manufacturer"
"125","packaging","hospital high"
"126","ventilator not use","patient complications reported result"
"127","insulin pump replaced","pulse generator explanted"
"128","blood glucose unknown","operated"
"129","revision recommended","patient ins"
"130","provider states","reported subsequent"
"131","stent deformation","deteriorated"
"132","death unrelated","medwatch filed appropriate patient"
"133","indication product caused contributed","sensitivity reprogrammed"
"134","loss lock","alcl"
"135","routine device change","final report patient"
"136","no indication product caused","lead added"
"137","no patient contact","complete reported patient"
"138","indication product caused","embolized"
"139","pt involvement","astigmatism"
"140","not resolved troubleshooting","conclusion"
"141","no reported adverse","clinician reports"
"142","however complaint","550 mg"
"143","patient due reported","perceval"
"144","malfunction potential","service no additional adverse"
"145","extension leg","424"
"146","glucose unknown","horrible"
"147","user allegedly","413"
"148","no serious","lead became dislodged"
"149","caught fire","recannulation"
"150","no pt involvement","stated hospital"
"151","preparation","due occurrence"
"152","no medical","425 mg dl"
"153","indicated no adverse","revision surgery due"
"154","adverse patient effect","explant damage"
"155","device change","429"
"156","reported attempted","alleged patient received"
"157","impact patient outcome","patient reintubated"
"158","bone quality bone","blood loss"
"159","no reports","422"
"160","two events","received medical"
"161","dull","corneal"
"162","dl reportedly customer","noninvasive"
"163","result event event reported","event patient involving"
"164","reported user facility","finger"
"165","patients died","inside patient"
"166","graters","biosystems"
"167","effect patient due","subject"
"168","indicated no adverse effect","hospitalized customers blood"
"169","events reported result","specific serial"
"170","complainant indicated no adverse","replacement tube required"
"171","listings","tosoh"
"172","radiographs","experienced"
"173","implant procedure","457"
"174","product caused contributed adverse","aso"
"175","dexcom made","420 mg"
"176","trend similar","patient consequence associated"
"177","allegation adverse","patient allegedly"
"178","not revised","reprogrammed device"
"179","reported patient presented","following use"
"180","not used patient","tissue loss"
"181","reported insulin","voiding"
"182","dexcom made aware","600mg dl"
"183","expiry","went cardiac arrest"
"184","generator change","no autopsy"
"185","event occurred","repositioned no adverse"
"186","ivtm","address high"
"187","completion analysis additional","medical records requested"
"188","no allegation adverse","451"
"189","stent damage","endoleak resolved"
"190","resolved troubleshooting","49 mg dl"
"191","issue not resolved troubleshooting","patient sequelae"
"192","sequelae reported patient monitored","proximal segment returned analyzed"
"193","device malfunction suspected","event death"
"194","change procedure","clinical investigation"
"195","used new","500mg"
"196","unknown troubleshooting","dislocation"
"197","removed together","family decided"
"198","security","threshold dft"
"199","completion analysis additional information","manufactures"
"200","idrive","related"
"201","patient involved","dlk"
"202","normal eri","rsoc"
"203","no patient injury evaluation","patient harm injury"
"204","deemed reportable","stent dislodgement occurred"
"205","exhausted","rescheduled"
"206","product caused contributed","correction bolus"
"207","powered wheelchair","no primary"
"208","malfunction","428"
"209","one injured","currently hospital"
"210","alarm blood glucose time","420 mg dl"
"211","no one injured","unit involved"
"212","no allegation adverse event","second procedure"
"213","allegation adverse event","inpatient"
"214","reported no patient involvement","physician implanted"
"215","use no","pulseless"
"216","not required","accident"
"217","caused contributed adverse event","required remove"
"218","handheld","reintubation"
"219","reported customer received","ems"
"220","programming system","went ventricular"
"221","controller exchanged","photorefractive keratectomy"
"222","complete case no","harvested"
"223","no clinical sequelae reported","event sensor inserted"
"224","user alleged","optometrist reported"
"225","cracked","lifevest"
"226","adverse events reported result","wife"
"227","pump parameters","performed remove"
"228","no impact patient outcome","tube required"
"229","patient impact","thoracotomy"
"230","patient injury evaluation summary","urgent care"
"231","caused contributed adverse","delivered address bg level"
"232","device upgrade","46 mg"
"233","flap creation","customer reported emergency"
"234","recall initiated","patient sent surgery"
"235","scientific received information implant","procedure patient"
"236","event none","patient consequence associated event"
"237","postoperative care","keratectomy"
"238","impact customers","replaced no adverse consequences"
"239","threshold suspend","dentist"
"240","complainant not indicate","resulting"
"241","due normal","evolut"
"242","adverse event related","445"
"243","implant lead","reposition"
"244","reported implant procedure","magnification"
"245","rupture occurred","warranted"
"246","reported patient monitored","intraocular lens iol explanted"
"247","manual wheelchair","injury information"
"248","enhancements","proximal segment lead returned"
"249","inspected device replaced","resected"
"250","adverse event none","bolus via"
"251","customer 2010","unknown date"
"252","technician replaced","patient passing"
"253","explanted products","logs"
"254","delivery catheter","lens iol explanted"
"255","per provider","retrieved"
"256","blood glucose level not","alleged injury"
"257","discontinuity","450 mg dl"
"258","event observed analysis","450 mg"
"259","injuries medical intervention prolonged","pump unit involved"
"260","pullback","loss integration"
"261","potential injury","post"
"262","patient sample","investigation complete reported patient"
"263","customer reports","reported customer blood"
"264","completed another","46 mg dl"
"265","patient treatment","amplatzer"
"266","box","sutured"
"267","lens explanted","major pump unit involved"
"268","merge","high power"
"269","partially deployed","dislodged"
"270","dl reportedly","reported customer blood glucose"
"271","dealer","air embolism"
"272","revision surgery not","surgery scheduled"
"273","stock","followup report issued"
"274","treatment associated","vision"
"275","reported device change","guide wire tip"
"276","physiocontrol","biological debris"
"277","customer unknown","treated via"
"278","following information provided initial","reported plaintiff"
"279","no fragments","reported patient infection"
"280","patient undergoing","device replaced due"
"281","patient remains","high blood glucose readings"
"282","elected not","arrested"
"283","discordant","decline"
"284","injury evaluation summary","421"
"285","without patient","separated tip"
"286","impact customers blood","catheter revised"
"287","impact customers blood glucose","surgical removal"
"288","blood glucose reading unknown","patient presented bone type"
"289","patient injury medical intervention","no additional adverse patient"
"290","no impact customers blood","hospitalized customers blood glucose"
"291","states blood glucose reading","staple line"
"292","upon completion analysis additional","patient presented bone"
"293","injury delay","photorefractive"
"294","stripped","2019 patient stable"
"295","implanted patient therefore","425 mg"
"296","patient injury medical","submitted reported patient"
"297","events reported result malfunction","blood pressure"
"298","agfa","final report"
"299","medical surgical intervention","550 mg dl"
"300","broken no","no adverse patient sequela"
"301","neurovascular","trace"
"302","impedance lead remains","customers blood glucose bg"
"303","no reported patient injury","death requested not received"
"304","reading unknown","osseointegration observed"
"305","reported patients blood glucose","later"
"306","not explanted","cancellation"
"307","engineering evaluation","proximal segment"
"308","reported non","bloating"
"309","head section","slack"
"310","glucose reading unknown","47 mg"
"311","injury medical intervention reported","linx"
"312","meet animas","2019 lens"
"313","tightener","hair loss"
"314","serious injury malfunction","owners"
"315","glucose level not","lad"
"316","explanted explanted returned mfr","burnishing"
"317","no clinical sequelae","capsular tear"
"318","iipv","reported within"
"319","patient consequence","major pump unit"
"320","prior implant","blood glucose bg"
"321","no tissue","reaction"
"322","no reported pt","based allegation patient"
"323","ventilator not use patient","catheterizing"
"324","contributed reported hyperglycemia","452"
"325","stent damage occurred","outcomes"
"326","immucor","no device failure"
"327","injury malfunction","sudden cardiac"
"328","use not contribute","dissection noted"
"329","not cause contribute death","injection reportedly customer"
"330","lead discontinuity","diopter"
"331","medical cadd","replaced no patient"
"332","not affected","sedation"
"333","event reported customer","halos"
"334","patient user","vanguard"
"335","level time incident not","level high"
"336","another angioseal","reported lead explanted replaced"
"337","laboratory no","recipient"
"338","disposal","capped replaced no"
"339","no injury medical intervention","diabetic"
"340","provide info","reported post"
"341","product caused","level elevated"
"342","revision operative","screws explanted"
"343","generator changeout","replacement tube"
"344","deemed reportable malfunction","alleged attempting"
"345","time incident not","bradycardia"
"346","bone verified","600mg"
"347","attempted implanted","burned"
"348","no harm injury","registry"
"349","lead unable","unconscious"
"350","explanted unk","lockup"
"351","trials","replaced no"
"352","driveline sheath","2019"
"353","lead explanted replaced due","patient unresponsive"
"354","upgrade","database indicated"
"355","suspected not cause","remained patient"
"356","proximal shaft","reported serious injury"
"357","complete procedure no","correlation device"
"358","different lead","shock delivered"
"359","would updated time additional","cosmetic depression"
"360","no impact customers","catheter replacement"
"361","impact patient management","reported patients"
"362","ventilator not patient","addressed bolus"
"363","appointment","complainant alleged attempting"
"364","not meet animas","procedure converted"
"365","not successfully implanted","glucose bg level impacted"
"366","stem added","pump thrombus"
"367","reported philips","instructions use"
"368","unknown customer advised","lead successfully"
"369","implant procedure lead","failure malfunction"
"370","precedence","coumadin"
"371","lead monitored","organ failure"
"372","no reported impact","hardware removed"
"373","presumption","expired approximately"
"374","no patient injury medical","exemption"
"375","due loss capture","patient complained"
"376","reported preparation","implant replaced"
"377","event deemed reportable malfunction","assisted cataract"
"378","no revision surgery","47 mg dl"
"379","reported attempted implant","trial patient"
"380","impedance lead remains use","pump catheter replaced"
"381","completed procedure","dislodgement no"
"382","faulted","event"
"383","nova","used retrieve"
"384","no report pt","executed"
"385","patient samples","sent surgery"
"386","likely underlying root","hemodialysis treatment"
"387","procedure completed another","manual injection"
"388","meet animas criteria","found proximal segment"
"389","device not used","organ perforation"
"390","used successfully","mesh implanted"
"391","speaker","479"
"392","likely underlying root cause","vyaire"
"393","lead capped replaced due","knowledge reported customer experienced"
"394","high impedance","sulcus"
"395","procedure balloon","multiple attempts obtain"
"396","no report adverse event","patient lead revision"
"397","smiths medical cadd","additional adverse patient"
"398","excursion not","anomalies found proximal segment"
"399","balloon rupture","therapy device"
"400","dealer states","silenced"
"401","complete procedure without","made based allegation patient"
"402","placement difficulty","467"
"403","no medical intervention","resuscitation efforts"
"404","time incident not provided","laceration"
"405","suspected not cause contribute","fell broke"
"406","no external power","picc line"
"407","intervention injuries","away"
"408","patient user injury","incident"
"409","180 mg dl","dl treated"
"410","injury evaluation summary post","comfort"
"411","damage occurred","433"
"412","transformer","avm"
"413","rh","litigation alleges"
"414","monitor patient","pump thrombosis"
"415","verified non osseointegration","conductor broken"
"416","post paced","dental implant"
"417","range signal","emergent"
"418","no impact patient","400 mg dl"
"419","procedural details bard reported","importer"
"420","no reports patient","product failure"
"421","verified non","lead inactivated"
"422","pt injury","pupils"
"423","no injury medical","cause death requested"
"424","experienced abnormal","pickup"
"425","shuts","address bg levels"
"426","early sensor","stated hospitalized"
"427","device reprogramming","dislocated"
"428","lens tore","juice"
"429","leaking","allegedly"
"430","no patient involvement associated","reprogrammed lead"
"431","no adverse event resulted","apparent explant"
"432","no fragment","day implant"
"433","patient management","injury covidien"
"434","electrocautery","reprogrammed"
"435","medtronic not","not allege"
"436","serious injury complaint reported","catheter broke"
"437","returned ans","attorneys"
"438","no erroneous","seen revision"
"439","bone verified nonosseointegration","organ"
"440","device not implanted","event expired"
"441","unpacking","traceability"
"442","result retrospective","overcorrection"
"443","reported prior implant","458"
